time,low,high,open,close,volume
1617494400,56382.48,58508.0,57064.46,58203.08,547.233766
1617580800,56819.12,59251.37,58215.08,59128.34,574.112095
1617667200,57355.82,59499.0,59120.79,58018.92,653.826992
1617753600,55437.11,58629.96,58018.2,55928.93,1527.335961
1617840000,55694.67,58129.53,55928.92,58079.35,638.399075
1617926400,57647.49,58888.0,58070.02,58111.31,581.598704
1618012800,57869.41,61250.0,58108.74,59760.11,1111.297907
1618099200,59160.77,60668.3,59758.45,59967.76,488.19805
1618185600,59362.91,61210.99,59979.59,59839.08,878.792908
1618272000,59769.63,63775.89,59836.43,63588.93,1461.735395
1618358400,61208.0,64967.23,63593.68,62971.33,1607.718744
1618444800,62013.24,63866.3,62971.27,63238.42,780.790902
1618531200,60062.94,63584.65,63236.41,61420.0,1344.490155
1618617600,59658.3,62561.4,61424.4,60064.21,884.757652
1618704000,51722.01,60433.33,60067.69,56273.44,3310.639845
1618790400,54262.74,57600.0,56264.69,55665.92,1987.821625
1618876800,53415.7,57117.1,55672.62,56480.59,2420.711033
1618963200,53631.99,56809.51,56480.59,53800.2,1559.347752
1619049600,50418.93,55459.57,53790.01,51695.03,2323.871849
1619136000,47475.0,52130.67,51695.02,51146.29,2497.886993
1619222400,48721.97,51215.5,51171.36,50083.28,1083.130304
1619308800,47011.0,50600.0,50090.88,49097.64,1484.452457
1619395200,48826.43,54413.68,49117.13,54064.63,1751.42434
1619481600,53301.48,55514.99,54057.24,55070.0,949.066869
1619568000,53874.16,56491.0,55070.0,54875.37,972.706959
1619654400,52352.95,55223.0,54885.72,53595.5,858.743314
1619740800,53066.93,58009.15,53584.45,57792.2,1146.900246
1619827200,57020.68,58526.98,57792.2,57859.07,736.471447
1619913600,56084.56,57967.96,57859.08,56612.76,646.747119
1620000000,56500.0,58978.28,56601.65,57220.34,1031.095743
1620086400,53122.78,57244.87,57220.6,53235.1,1646.841949
1620172800,52946.9,57997.16,53225.99,57506.49,1509.407785
1620259200,55263.11,58431.01,57506.49,56426.06,1246.986981
1620345600,55295.01,58719.85,56432.51,57366.21,1172.706482
1620432000,56976.28,59549.79,57367.15,58949.48,1366.061546
