time,low,high,open,close,volume
1649030400,45126.58,46893.53,46423.6,46586.91,710.260793
1649116800,45375.5,47196.13,46597.67,45510.88,673.974797
1649203200,43115.52,45516.48,45507.33,43183.88,1113.88676
1649289600,42737.09,43902.31,43172.02,43452.64,623.652361
1649376000,42113.47,43983.5,43440.0,42265.71,802.752852
1649462400,42133.11,42807.2,42255.54,42757.07,250.531881
1649548800,41892.1,43426.23,42759.24,42159.82,436.24758
1649635200,39215.26,42418.98,42166.35,39540.55,1300.525191
1649721600,39263.15,40700.99,39530.8,40080.65,1280.747807
1649808000,39589.32,41570.02,40080.65,41144.86,1189.785225
1649894400,39572.24,41500.0,41151.48,39946.93,661.007399
1649980800,39771.18,40861.77,39945.91,40564.17,542.405087
1650067200,40005.67,40706.17,40562.26,40382.33,359.322022
1650153600,39559.32,40607.0,40389.05,39681.76,525.209283
1650240000,38541.31,41100.0,39681.63,40811.04,1260.086581
1650326400,40568.67,41800.0,40811.12,41496.82,612.409258
1650412800,40900.0,42205.43,41501.19,41372.38,678.127661
1650499200,39771.6,42984.15,41368.2,40483.33,1091.012495
1650585600,39172.34,40799.14,40482.63,39700.53,879.526962
1650672000,39290.16,39984.61,39708.86,39447.86,302.742514
